startTime,Open,High,Low,Close,Volume,Turnover
1687323900000,28775.5,28775.5,28766,28766.5,56979,1.98060255
1687323960000,28766.5,28766.5,28766,28766.5,212,0.00736974
1687324020000,28766.5,28766.5,28766,28766.5,246,0.00855163
1687324080000,28766.5,28766.5,28766,28766.5,217,0.00754352
1687324140000,28766.5,28766.5,28766,28766.5,169,0.0058749
1687324200000,28766.5,28797,28765.5,28797,81983,2.84959848
1687324260000,28797,28799,28797,28799,83,0.002882
1687324320000,28799,28819,28793.5,28807.5,63246,2.19530832
1687324380000,28807.5,28808,28794,28808,28606,0.99312653
1687324440000,28808,28820,28808,28820,125,0.00433806
1687324500000,28820,28820,28811.5,28820,8791,0.30510254
1687324560000,28820,28823,28818.5,28823,25586,0.88783236
1687324620000,28823,28823,28815.5,28823,30,0.00104087
1687324680000,28823,28838.5,28823,28838.5,10,0.00034686
1687324740000,28838.5,28852.5,28838.5,28851,1615,0.0559873
1687324800000,28851,28858.5,28850,28858.5,127163,4.40772948
1687324860000,28858.5,28858.5,28836.5,28853,209958,7.27908397
1687324920000,28853,28889,28853,28889,78380,2.71352094
1687324980000,28889,28889,28867.5,28877.5,96518,3.34251395
1687325040000,28877.5,28877.5,28861,28861,7670,0.26569668
1687325100000,28861,28861,28838.5,28838.5,115582,4.00545482
1687325160000,28838.5,28850,28829,28850,66920,2.32074016
1687325220000,28850,28855,28850,28855,113,0.00391672
1687325280000,28855,28855,28847.5,28847.5,32031,1.11033688
1687325340000,28847.5,28847.5,28847.5,28847.5,10,0.0003466
1687325400000,28847.5,28847.5,28847.5,28847.5,1538,0.05331479
1687325460000,28847.5,28847.5,28841.5,28841.5,10,0.00034662
1687325520000,28841.5,28841.5,28820,28820,50926,1.76687739
1687325580000,28820,28820.5,28809,28809,69081,2.39775259
1687325640000,28809,28817,28805,28805,89677,3.11324379
1687325700000,28805,28806,28801,28806,4485,0.15570224
1687325760000,28806,28806,28802,28806,252,0.00874838
1687325820000,28806,28806,28798,28798,274909,9.54568463
1687325880000,28798,28801,28789,28789,128986,4.47971747
1687325940000,28789,28797.5,28788,28795.5,87266,3.0312309
1687326000000,28795.5,28813.5,28792,28813.5,104205,3.61662489
1687326060000,28813.5,28816.5,28813.5,28816.5,40,0.00138817
1687326120000,28816.5,28816.5,28811.5,28811.5,5327,0.18487855
1687326180000,28811.5,28811.5,28808,28810.5,100038,3.47248367
1687326240000,28810.5,28819.5,28810.5,28819.5,83,0.0028799
1687326300000,28819.5,28824.5,28817,28817,30661,1.06398917
1687326360000,28817,28818.5,28817,28818.5,100171,3.47595667
1687326420000,28818.5,28824,28818.5,28822,167414,5.80899727
1687326480000,28822,28822,28822,28822,156,0.00541246
1687326540000,28822,28829,28822,28829,114921,3.98685146
1687326600000,28829,28840,28829,28840,555,0.0192501
1687326660000,28840,28840,28760,28840,110,0.00381419
1687326720000,28840,28873.5,28840,28873.5,20639,0.71510707
1687326780000,28873.5,28885,28873.5,28882,198995,6.88956166
1687326840000,28882,28885,28881.5,28885,2684,0.09292981
1687326900000,28885,28885,28884,28885,13032,0.45118385
1687326960000,28885,28930,28885,28929,202079,6.98752198
1687327020000,28929,28933,28925.5,28933,187305,6.47516233
1687327080000,28933,28938,28931.5,28936,106030,3.66442436
1687327140000,28936,28972.5,28936,28972.5,132947,4.59428126
1687327200000,28972.5,28987.5,28953.5,28953.5,314517,10.85615551
1687327260000,28953.5,28953.5,28922,28924,191827,6.63229872
1687327320000,28924,28932,28923,28923,229435,7.93132169
1687327380000,28923,28924.5,28919,28919,178628,6.17634698
1687327440000,28919,28927,28913.5,28913.5,153089,5.29312438
1687327500000,28913.5,28918.5,28911.5,28913.5,268114,9.27322302
1687327560000,28913.5,28940.5,28913.5,28934,182550,6.30908662
1687327620000,28934,28938,28920.5,28931,391829,13.54223511
1687327680000,28931,28934,28930.5,28933,107927,3.73049836
1687327740000,28933,28934,28931,28931.5,40092,1.38577979
1687327800000,28931.5,28931.5,28923,28923,5872,0.20302173
1687327860000,28923,28923,28894.5,28894.5,22441,0.77620585
1687327920000,28894.5,28896.5,28877,28877,393045,13.60560672
1687327980000,28877,28880,28869.5,28869.5,126006,4.36384569
1687328040000,28869.5,28869.5,28842,28842,75928,2.63156753
1687328100000,28842,28851.5,28840.5,28851.5,118072,4.09377576
1687328160000,28851.5,28865,28851.5,28865,123,0.00426161
1687328220000,28865,28869.5,28865,28869.5,10,0.00034637
1687328280000,28869.5,28869.5,28861.5,28865,83,0.00287563
1687328340000,28865,28865,28797,28801,185960,6.44572182
1687328400000,28801,28820.5,28792,28799.5,159210,5.52774164
1687328460000,28799.5,28799.5,28789,28789,96,0.00333413
1687328520000,28789,28808,28789,28808,72419,2.51425434
1687328580000,28808,28810,28805,28807,55,0.00190932
1687328640000,28807,28807,28782,28786.5,156,0.00541947
1687328700000,28786.5,28796,28786.5,28794.5,72282,2.51018458
1687328760000,28794.5,28802,28794.5,28796.5,125097,4.34401562
1687328820000,28796.5,28799.5,28796.5,28799.5,1083,0.03760476
1687328880000,28799.5,28811,28799.5,28811,100043,3.47377549
1687328940000,28811,28820.5,28809,28820.5,70772,2.4565797
1687329000000,28820.5,28831,28820.5,28831,78859,2.7362112
1687329060000,28831,28831,28805.5,28805.5,43,0.00149195
1687329120000,28805.5,28805.5,28785,28785,102252,3.55114258
1687329180000,28785,28788.5,28777,28778.5,4443,0.15438561
1687329240000,28778.5,28781.5,28773,28778.5,150,0.00521305
1687329300000,28778.5,28792,28778.5,28786.5,60726,2.11011623
1687329360000,28786.5,28788.5,28769,28788.5,90482,3.14363897
1687329420000,28788.5,28788.5,28786,28788.5,2688,0.09337853
1687329480000,28788.5,28788.5,28787.5,28788.5,178,0.00618302
1687329540000,28788.5,28792.5,28786.5,28786.5,1147,0.03984127
1687329600000,28786.5,28790.5,28786,28786,293,0.01017828
1687329660000,28786,28788.5,28786,28788.5,22728,0.78951623
1687329720000,28788.5,28790.5,28788.5,28790.5,118,0.00409853
1687329780000,28790.5,28790.5,28790.5,28790.5,95,0.00329965
1687329840000,28790.5,28803.5,28790.5,28803.5,30468,1.05779061
1687329900000,28803.5,28812.5,28803.5,28812.5,123,0.00426982
1687329960000,28812.5,28813.5,28812.5,28813.5,86,0.00298474
1687330020000,28813.5,28813.5,28813.5,28813.5,10,0.000347
1687330080000,28813.5,28820,28813.5,28820,86,0.00298401
1687330140000,28820,28820,28813.5,28820,214,0.00742576
1687330200000,28820,28833.5,28820,28833.5,10127,0.35138737
1687330260000,28833.5,28833.5,28823.5,28823.5,300105,10.41141025
1687330320000,28823.5,28829,28781,28782.5,253088,8.78982087
1687330380000,28782.5,28790.5,28782.5,28789.5,48659,1.69016547
1687330440000,28789.5,28790.5,28785,28787,207627,7.21288523
1687330500000,28787,28824.5,28787,28824.5,85,0.00295085
1687330560000,28824.5,28836.5,28824.5,28836.5,271131,9.40474899
1687330620000,28836.5,28837.5,28832.5,28836,228341,7.91920067
1687330680000,28836,28838.5,28836,28838.5,251672,8.72735111
