startTime,Open,High,Low,Close,Volume,Turnover
1736176380000,96880.5,104807,96738,104807,33252,0.32570473
1736176440000,104807,108599.5,104807,108543.5,31187,0.28723177
1736176500000,108543.5,110010.5,100082,104205.5,46736,0.43958327
1736176560000,104205.5,104205.5,96035.5,96035.5,25785,0.2555502
1736176620000,96035.5,100075,96032,100075,60746,0.6293035
1736176680000,100075,108031,99723,99723.5,50383,0.48149559
1736176740000,99723.5,107141.5,96391.5,107141.5,50008,0.50204883
1736176800000,107141.5,107141.5,94796,94796,39782,0.40056549
1736176860000,94796,99543,91129,91129,49323,0.51576375
1736176920000,91129,102512.5,91129,102512.5,37324,0.39214573
1736176980000,102512.5,102512.5,94326,98096.5,62046,0.62615411
1736177040000,98096.5,98099,92690.5,97938.5,47114,0.49178964
1736177100000,97938.5,106103.5,97938.5,101855,37207,0.36129371
1736177160000,101855,105929,94179.5,101684.5,48425,0.47223678
1736177220000,101684.5,105751.5,94425,97620.5,48105,0.46809012
1736177280000,97620.5,101525,95526.5,95550,46962,0.48227201
1736177340000,95550,103346.5,95550,99371,21967,0.21587393
1736177400000,99371,107248,99215,99215,55448,0.52836992
1736177460000,99215,103184,99049,99049,54469,0.53564626
1736177520000,99049,106862,94943,96350,35109,0.35335524
1736177580000,96350,96426,94943,96426,33698,0.35065333
1736177640000,96426,96426,94765,94765,64419,0.67456812
1736177700000,94765,94765,94078.5,94078.5,16778,0.17834037
1736177760000,94078.5,100038,92480.5,96208,68132,0.72248161
1736177820000,96208,100056,96207.5,100056,35765,0.35858209
1736177880000,100056,105952.5,100053.5,101877.5,38932,0.37791901
1736177940000,101877.5,105953,93883,93883,30677,0.30806265
1736178000000,93883,105612,92909,105612,41652,0.44116747
1736178060000,105612,105612,97481,97484.5,53083,0.52398451
1736178120000,97484.5,101382,95056.5,98952.5,48764,0.51162582
1736178180000,98952.5,102910.5,93934.5,94995,37796,0.38592365
1736178240000,94995,102743.5,94995,98791,41024,0.41186107
1736178300000,98791,102743,98625.5,98625.5,36298,0.36240086
1736178360000,98625.5,98625.5,94534.5,98463.5,40109,0.41600628
1736178420000,98463.5,102402,98463,102401.5,35002,0.34364283
1736178480000,102401.5,102401.5,94367,94370.5,64946,0.65190085
1736178540000,94370.5,102070,94222,101911,37088,0.37561667
1736178600000,101911,101911,91134,97830,60091,0.6192303
1736178660000,97830,103341.5,93916,97673,51465,0.51717244
1736178720000,97673,105647,97673,101421,50136,0.48248809
1736178780000,101421,107579.5,97365,105293.5,56300,0.55082224
1736178840000,105293.5,107542,101079,101079,45051,0.42066981
1736178900000,101079,107385,101079,107385,50063,0.46971006
1736178960000,107385,107385,107385,107385,831,0.00773851
1736179020000,107385,107385,98963,98966.5,55100,0.54674611
1736179080000,98966.5,102923,97094.5,102751,54001,0.53386658
1736179140000,102751,107756.5,97160.5,98800.5,38954,0.376109
1736179200000,98800.5,98800.5,96216.5,96564,47799,0.49542479
1736179260000,96564,106359.5,94631.5,106170.5,40132,0.39832592
1736179320000,106170.5,107109,101926.5,101930.5,54768,0.520097
1736179380000,101930.5,107113.5,96377.5,96483,31045,0.31152068
1736179440000,96483,96483,95991.5,96483,31155,0.32374735
1736179500000,96483,104353.5,96483,100340.5,37184,0.36693969
1736179560000,100340.5,102294.5,96847,98201.5,40475,0.40503586
1736179620000,98201.5,104458.5,96426,104458.5,62558,0.63494861
1736179680000,104458.5,106363,98178,98178,39938,0.38584182
1736179740000,98178,107319.5,94636,107319.5,45839,0.44528281
1736179800000,107319.5,107411,101776,101776,56538,0.54015715
1736179860000,101776,101776,97557,97560,46423,0.46875355
1736179920000,97560,105670,97560,101459,35064,0.34019945
1736179980000,101459,105494,97401,101436,37903,0.373729
1736180040000,101436,101436,97375,97375,17930,0.18342494
1736180100000,97375,104669.5,94805,104669.5,51554,0.53157971
1736180160000,104669.5,107374.5,96476,96476,48301,0.45738431
1736180220000,96476,104498,92617,99514.5,47693,0.47902671
1736180280000,99514.5,107264.5,94746,99359.5,31727,0.31780763
1736180340000,99359.5,107096.5,98858.5,103326,55973,0.54564835
1736180400000,103326,103326,95390.5,103172,41991,0.42618325
1736180460000,103172,111575.5,99203,107337,45184,0.43294869
1736180520000,107337,107337,98914.5,98914.5,39725,0.38883955
1736180580000,98914.5,106986.5,98292,106985.5,22772,0.22413046
1736180640000,106985.5,111262,102536.5,102538.5,52339,0.49368088
1736180700000,102538.5,102538.5,97254,97254,45620,0.45907314
1736180760000,97254,106309.5,97254,102216.5,41189,0.3957258
1736180820000,102216.5,102216.5,97296.5,98128.5,39930,0.40896039
1736180880000,98128.5,106131.5,97968,101890.5,51493,0.51230067
1736180940000,101890.5,101898,95404,95404,47573,0.47069768
1736181000000,95404,103192.5,95404,101556.5,40051,0.40013182
1736181060000,101556.5,107490.5,99066,101401,52086,0.51422
1736181120000,101401,109839.5,97175,97175,44795,0.45141867
1736181180000,97175,105107,97175,101058.5,46771,0.4606683
1736181240000,101058.5,105100.5,97012.5,97012.5,49053,0.4803562
1736181300000,97012.5,100483,96285.5,100134.5,59133,0.60496598
1736181360000,100134.5,100134.5,95249.5,95305,41627,0.43286338
1736181420000,95305,103080.5,95305,99115,54986,0.55510572
1736181480000,99115,103080.5,94993,94993,37273,0.36753044
1736181540000,94993,98793,91273.5,92657.5,33491,0.35559346
1736181600000,92657.5,100221.5,92657.5,98724,32814,0.33556207
1736181660000,98724,102673,92161.5,98565,50726,0.51994874
1736181720000,98565,98569,94611.5,94611.5,32575,0.33847396
1736181780000,94611.5,102344,91497,102344,45026,0.48231997
1736181840000,102344,107013.5,98252,106982.5,59949,0.56527919
1736181900000,106982.5,106982.5,98078.5,98078.5,46578,0.46212351
1736181960000,98078.5,98078.5,93940.5,97921.5,48305,0.51061558
1736182020000,97921.5,106917.5,97921.5,101835,40111,0.38308738
1736182080000,101835,101835,95644,99466,50053,0.51185684
1736182140000,99466,106814.5,95337.5,102542.5,45455,0.4494621
1736182200000,102542.5,102542.5,98438,98438,32750,0.32662144
1736182260000,98438,106300,94500.5,106300,34117,0.34273693
1736182320000,106300,106300.5,97964,97964,50062,0.47914017
1736182380000,97964,101881,95339.5,101881,48443,0.5019117
1736182440000,101881,105956,97808.5,97808.5,40100,0.38326934
1736182500000,97808.5,101714.5,95654.5,97647,36112,0.37129838
1736182560000,97647,105622.5,95297,105622.5,52727,0.54304767
1736182620000,105622.5,107207,105615,105615,30969,0.29096145
1736182680000,105615,107291,105615,107256,46421,0.43275283
1736182740000,107256,107256,98843.5,102801,47707,0.47280266
1736182800000,102801,102802.5,96323,102797.5,53914,0.53835351
1736182860000,102797.5,107159.5,98372,102470.5,40880,0.40693754
1736182920000,102470.5,106572.5,98372,106572.5,56537,0.56134124
1736182980000,106572.5,106572.5,102143,102143,24991,0.2444006
1736183040000,102143,106232.5,98223,106232.5,46530,0.45610346
1736183100000,106232.5,107068,101812,105888,50519,0.48068747
1736183160000,105888,107024.5,101480.5,101480.5,58567,0.56170423
1736183220000,101480.5,105539,96796.5,100671,51611,0.51374068
1736183280000,100671,104697,97274.5,101165,38675,0.37732262
1736183340000,101165,105211.5,100999,100999,35212,0.33560226
1736183400000,100999,105033,96962.5,100843,55703,0.55416349
1736183460000,100843,102054,100840,102050.5,19124,0.18883583
1736183520000,102050.5,107493.5,96900.5,101887,49981,0.48985555
1736183580000,101887,105961,96849.5,96857,52796,0.53621981
1736183640000,96857,104760.5,96700,104760.5,40384,0.40528695
1736183700000,104760.5,107058,104760.5,107027,19932,0.18622032
1736183760000,107027,107027,98633,98633,22151,0.21616986
1736183820000,98633,102583.5,94692.5,96244,53768,0.55022264
1736183880000,96244,102419,96090,96090,51975,0.5242012
1736183940000,96090,106341.5,94935.5,106339,48443,0.48457392
1736184000000,106339,106884,98168.5,102095,41896,0.39919457
1736184060000,102095,105983.5,97813.5,97813.5,42715,0.41786248
1736184120000,97813.5,107094.5,97813.5,105628.5,50595,0.48940161
1736184180000,105628.5,105628.5,97345.5,97353.5,48729,0.47944689
1736184240000,97353.5,105293.5,97353.5,105293.5,51023,0.4924304
1736184300000,105293.5,108483.5,101083.5,105124.5,49128,0.46189538
1736184360000,105124.5,107837,100922.5,107837,42943,0.40849528
1736184420000,107837,107837,99230.5,103198.5,55352,0.53456301
1736184480000,103198.5,103198.5,96701.5,103031.5,49185,0.50284969
1736184540000,103031.5,107152,96761,96761,39717,0.37969288
1736184600000,96761,108409.5,96746.5,98753.5,30470,0.29368461
1736184660000,98753.5,98754.5,96677.5,98754.5,45000,0.46207623
1736184720000,98754.5,106812.5,98754.5,106805.5,50874,0.48437942
1736184780000,106805.5,106805.5,98433.5,106634.5,32749,0.32477362
1736184840000,106634.5,106634.5,97920,98280,49363,0.48709529
1736184900000,98280,105900,96457,105898.5,37586,0.38274817
1736184960000,105898.5,105898.5,97962.5,97962.5,52600,0.52734027
1736185020000,97962.5,105949.5,96281.5,97965.5,48305,0.49145803
1736185080000,97965.5,105794,97812.5,105793.5,37280,0.36421161
1736185140000,105793.5,110025.5,101558.5,101558.5,50598,0.4837019
1736185200000,101558.5,105619,96184,101568.5,53976,0.52636791
1736185260000,101568.5,106604.5,96363.5,101400.5,49302,0.4733144
1736185320000,101400.5,101400.5,95726.5,95726.5,34364,0.35816552
1736185380000,95726.5,103541,95553.5,99685,42657,0.43160714
1736185440000,99685,106406,94553.5,94553.5,43602,0.42149257
1736185500000,94553.5,101202.5,94553.5,101202.5,46135,0.47213189
1736185560000,101202.5,105077.5,94189.5,94189.5,47527,0.4799027
1736185620000,94189.5,94189.5,93362,93362,29580,0.31654893
