startTime,Open,High,Low,Close,Volume,Turnover
1715403900000,60767.5,60768,60765,60768,144177,2.37261083
1715403960000,60768,60780.5,60767.5,60780.5,388236,6.38816646
1715404020000,60780.5,60786,60774.5,60786,81224,1.33634954
1715404080000,60786,60786,60773.5,60773.5,343956,5.65923678
1715404140000,60773.5,60794.5,60773.5,60775.5,288160,4.74089162
1715404200000,60775.5,60800.5,60775.5,60797.5,100187,1.64794643
1715404260000,60797.5,60838,60797.5,60838,786577,12.93464105
1715404320000,60838,60852.5,60806,60850,150405,2.471977
1715404380000,60850,60850.5,60844,60846.5,145528,2.39178602
1715404440000,60846.5,60846.5,60844,60844,121,0.00198863
1715404500000,60844,60844.5,60837.5,60837.5,128291,2.10863996
1715404560000,60837.5,60838,60834.5,60837,165302,2.71722325
1715404620000,60837,60837,60828,60828,255488,4.19993493
1715404680000,60828,60838,60828,60838,236577,3.88911471
1715404740000,60838,60838,60832,60832,145,0.0023836
1715404800000,60832,60838,60832,60837.5,100148,1.64615583
1715404860000,60837.5,60838,60828,60838,101432,1.66728061
1715404920000,60838,60842,60837.5,60842,261281,4.29454053
1715404980000,60842,60884,60841.5,60846,751845,12.35278453
1715405040000,60846,60846.5,60843,60843,229126,3.76572137
1715405100000,60843,60846.5,60836.5,60836.5,78274,1.28649153
1715405160000,60836.5,60846.5,60836.5,60842,160677,2.64080251
1715405220000,60842,60847,60842,60843,100203,1.64680283
1715405280000,60843,60847.5,60843,60847.5,118,0.00193925
1715405340000,60847.5,60847.5,60842,60844.5,155777,2.56027001
1715405400000,60844.5,60853.5,60844.5,60853.5,300244,4.93410752
1715405460000,60853.5,60878,60851,60878,550506,9.04415108
1715405520000,60878,60886.5,60875.5,60876,277124,4.55222588
1715405580000,60876,60876,60873,60873,146,0.00239838
1715405640000,60873,60873.5,60850,60857.5,552623,9.07953195
1715405700000,60857.5,60857.5,60850,60850,169,0.00277713
1715405760000,60850,60857.5,60838.5,60850.5,72268,1.18779976
1715405820000,60850.5,60850.5,60838.5,60850.5,230,0.0037801
1715405880000,60850.5,60850.5,60812.5,60817,699866,11.50695011
1715405940000,60817,60832,60815.5,60832,300158,4.93462484
1715406000000,60832,60832,60830.5,60830.5,142586,2.34397214
1715406060000,60830.5,60831,60827.5,60827.5,74599,1.22638148
1715406120000,60827.5,60829,60819.5,60819.5,98281,1.61592107
1715406180000,60819.5,60820.5,60816,60816.5,153366,2.52174282
1715406240000,60816.5,60816.5,60816,60816,262,0.00430802
1715406300000,60816,60825.5,60814,60825.5,313135,5.14872249
1715406360000,60825.5,60859,60817,60858,612439,10.06676305
1715406420000,60858,60864,60858,60864,46841,0.76966423
1715406480000,60864,60868,60863.5,60868,61807,1.01547683
1715406540000,60868,60868,60863.5,60863.5,131194,2.15551212
1715406600000,60863.5,60865,60843,60858,343070,5.6373349
1715406660000,60858,60869.5,60843,60869.5,101447,1.66693173
1715406720000,60869.5,60876.5,60857.5,60876.5,100187,1.64593089
1715406780000,60876.5,60886,60876,60877.5,578348,9.50008674
1715406840000,60877.5,60877.5,60869,60873.5,160946,2.64402935
1715406900000,60873.5,60873.5,60869,60869,219,0.00359769
1715406960000,60869,60873.5,60869,60872,162,0.00266133
1715407020000,60872,60876.5,60872,60876.5,307,0.00504308
1715407080000,60876.5,60876.5,60874,60875.5,186,0.00305542
1715407140000,60875.5,60875.5,60874,60874,200202,3.28874686
1715407200000,60874,60909.5,60874,60909.5,866212,14.2253856
1715407260000,60909.5,60909.5,60894.5,60907.5,148843,2.44374003
1715407320000,60907.5,60907.5,60883,60887.5,325182,5.34022348
1715407380000,60887.5,60887.5,60883,60883,179,0.00293989
1715407440000,60883,60883.5,60867.5,60867.5,200160,3.28784748
1715407500000,60867.5,60875.5,60867.5,60870.5,100181,1.64572428
1715407560000,60870.5,60903,60870.5,60898.5,831632,13.66004842
1715407620000,60898.5,60921,60897.5,60921,405279,6.65407558
1715407680000,60921,60922,60915.5,60920,262549,4.30969098
1715407740000,60920,60920,60915.5,60915.5,141,0.00231458
1715407800000,60915.5,60917.5,60915.5,60917.5,73261,1.20263633
1715407860000,60917.5,60917.5,60911.5,60911.5,51842,0.85104032
1715407920000,60911.5,60916.5,60911.5,60911.5,219,0.0035953
1715407980000,60911.5,60916.5,60911.5,60916.5,259,0.00425197
1715408040000,60916.5,60916.5,60893.5,60909,208535,3.42403548
1715408100000,60909,60909,60882.5,60882.5,364313,5.98291759
1715408160000,60882.5,60886.5,60880.5,60880.5,71027,1.16661457
1715408220000,60880.5,60909,60880.5,60909,866041,14.22113845
1715408280000,60909,60924,60903.5,60924,463516,7.60896649
1715408340000,60924,60924,60922.5,60922.5,151,0.00247853
1715408400000,60922.5,60926,60917.5,60923.5,278276,4.56761781
1715408460000,60923.5,60930,60899.5,60899.5,247443,4.06138211
1715408520000,60899.5,60902,60899.5,60899.5,494247,8.11562928
1715408580000,60899.5,60923.5,60899.5,60923.5,139059,2.28274405
1715408640000,60923.5,60928,60901.5,60927.5,200192,3.28594582
1715408700000,60927.5,60928,60917,60917,207427,3.40498755
1715408760000,60917,60918.5,60912,60912,141624,2.32485892
1715408820000,60912,60927.5,60912,60923,224465,3.68438982
1715408880000,60923,60940.5,60923,60940,183073,3.00447582
1715408940000,60940,60942.5,60938,60938,104782,1.71943641
1715409000000,60938,60942.5,60935.5,60941.5,235390,3.86276177
1715409060000,60941.5,60978,60941.5,60978,256532,4.20880239
1715409120000,60978,60982,60956,60976.5,765282,12.55051958
1715409180000,60976.5,60976.5,60948,60970,446879,7.33130708
1715409240000,60970,60970,60965.5,60970,228,0.00373955
1715409300000,60970,60990,60969.5,60990,782022,12.82419314
1715409360000,60990,61005,60986.5,61002,568744,9.3239469
1715409420000,61002,61009,61002,61002.5,273656,4.48582194
1715409480000,61002.5,61027,60993.5,61021.5,687495,11.26850487
1715409540000,61021.5,61024.5,60988,60988,765399,12.54651937
1715409600000,60988,60988.5,60971.5,60971.5,366880,6.01704982
1715409660000,60971.5,60972,60941.5,60942,693637,11.37723662
1715409720000,60942,60952,60922,60940,515218,8.45555339
1715409780000,60940,60940,60922,60932.5,214555,3.52120024
1715409840000,60932.5,60942.5,60932.5,60942.5,100190,1.64404907
1715409900000,60942.5,60943.5,60936,60936,415862,6.82390065
1715409960000,60936,60936,60922.5,60927.5,90760,1.48965157
1715410020000,60927.5,60927.5,60893.5,60893.5,469905,7.71383813
1715410080000,60893.5,60894.5,60885,60894.5,68943,1.13232881
1715410140000,60894.5,60894.5,60881.5,60881.5,100229,1.64620187
1715410200000,60881.5,60925.5,60881.5,60922.5,1138912,18.70371305
1715410260000,60922.5,60923,60894,60894,676901,11.11237828
1715410320000,60894,60900,60880,60880,258387,4.24371766
1715410380000,60880,60885,60879.5,60885,515558,8.46814542
1715410440000,60885,60891,60882,60891,70108,1.15148211
1715410500000,60891,60930.5,60891,60930.5,981959,16.12174685
1715410560000,60930.5,60945.5,60930,60945,2657,0.04360665
1715410620000,60945,60945.5,60940,60940,609,0.00999278
1715410680000,60940,60940.5,60920.5,60920.5,153163,2.51378564
1715410740000,60920.5,60924,60920.5,60924,219,0.00359477
1715410800000,60924,60940.5,60916,60926.5,631146,10.35973305
1715410860000,60926.5,60931.5,60923,60926.5,321008,5.26879885
1715410920000,60926.5,60926.5,60921.5,60924.5,200251,3.28691561
1715410980000,60924.5,60933.5,60924.5,60925,488364,8.0153683
1715411040000,60925,60931,60913,60913,200171,3.28525733
1715411100000,60913,60913.5,60895.5,60896.5,296833,4.87328331
1715411160000,60896.5,60896.5,60886.5,60886.5,360467,5.91983702
1715411220000,60886.5,60893,60886.5,60892,307539,5.05066444
1715411280000,60892,60898,60892,60898,244927,4.02208736
1715411340000,60898,60903.5,60890,60890.5,415335,6.8206836
1715411400000,60890.5,60890.5,60883,60883.5,383275,6.29508019
1715411460000,60883.5,60883.5,60872.5,60882.5,101465,1.66657062
1715411520000,60882.5,60882.5,60882,60882,290,0.00476326
1715411580000,60882,60882.5,60880,60881.5,178096,2.92529807
1715411640000,60881.5,60881.5,60847.5,60848.5,100139,1.64570997
1715411700000,60848.5,60854.5,60848.5,60851,269757,4.43311395
1715411760000,60851,60856.5,60830,60830.5,741997,12.19423025
1715411820000,60830.5,60840,60827.5,60840,200133,3.29012117
1715411880000,60840,60840,60832.5,60832.5,300215,4.93472768
1715411940000,60832.5,60834,60825.5,60833.5,341538,5.61440359
1715412000000,60833.5,60857,60833.5,60848.5,192022,3.15551576
1715412060000,60848.5,60857,60848.5,60856.5,101479,1.66749941
1715412120000,60856.5,60864,60856.5,60864,258033,4.23961458
1715412180000,60864,60864,60846,60853,145239,2.38655367
1715412240000,60853,60864,60853,60864,96101,1.5791635
1715412300000,60864,60864,60857.5,60863.5,598602,9.83546019
1715412360000,60863.5,60881,60863.5,60881,157036,2.57950824
1715412420000,60881,60907,60876.5,60907,181603,2.98280916
1715412480000,60907,60907,60884.5,60884.5,95,0.00155992
1715412540000,60884.5,60907,60884.5,60901.5,143,0.00234786
1715412600000,60901.5,60936.5,60901,60936.5,737844,12.11301184
1715412660000,60936.5,60938.5,60930,60938.5,163575,2.68428126
1715412720000,60938.5,60948.5,60938.5,60946.5,200221,3.28527599
1715412780000,60946.5,60947,60946.5,60947,178,0.00292056
1715412840000,60947,60947,60919.5,60919.5,391113,6.41808439
1715412900000,60919.5,60923,60908,60914,518062,8.50457567
1715412960000,60914,60938,60914,60938,345237,5.66621737
1715413020000,60938,60938.5,60908,60908,873301,14.33352997
1715413080000,60908,60908.5,60900,60900,188636,3.09723317
1715413140000,60900,60902.5,60881.5,60899,348718,5.72662228
1715413200000,60899,60899,60870.5,60880,191688,3.14865963
